turn,mean_error_a_0.63,mean_error_a_1.00,mean_error_a_1.12
0,0.0,0.0,0.0
1,0.1503418997294323,0.15164986821388227,0.148492446743808
2,0.24630670268234262,0.3028798308291077,0.3136879048431874
3,0.31059744918189003,0.4523306232008996,0.5014450191573194
4,0.3473357902174918,0.604457874645053,0.7087512694191336
5,0.3682457297938651,0.7565803511746199,0.944876264130774
6,0.3831540492688928,0.9072035214877381,1.2072762722386532
7,0.39046073411305776,1.057344390637406,1.5007077980486014
8,0.395044657638893,1.208756033844915,1.8273801831587078
9,0.39417644317562545,1.361705306686376,2.1977300417482795
10,0.39810548639723425,1.512385575720128,2.6118667860994003
11,0.3991634928331031,1.6615987479676155,3.0784023506129734
12,0.39844220405237996,1.8116096155265458,3.5981545919207063
13,0.3998284157905115,1.9633649265307895,4.1808391832673415
14,0.4002664231132018,2.1137538393686826,4.83342463655613
15,0.4024833292107112,2.261320059398368,5.561867374342549
16,0.40517071892138246,2.4128353119231636,6.376076011745598
17,0.40506797378368825,2.5621847364521066,7.294930036937452
18,0.40721657931212824,2.71412906753153,8.321420496255996
19,0.40620560304245285,2.8621235349915497,9.468969490692052
20,0.40504695419600834,3.011355806696576,10.756287871227896
21,0.40497443608746864,3.1606787187877745,12.197879620676252
22,0.40134818851956816,3.309085825985611,13.806776233966856
23,0.40129224879818626,3.4588057417630163,15.616842056163827
24,0.4032518361100345,3.603445352594309,17.640933981720252
25,0.4059697152987125,3.7561630496872813,19.904974275431847
26,0.40471301219665273,3.9108627951552397,22.441837948072752
27,0.4086037084278496,4.06141774501247,25.28613753761211
28,0.4101826171449735,4.210064957191533,28.4725208500859
29,0.40915701601516874,4.3619074136910845,32.039757235235896
30,0.4101437538653127,4.509085517060292,36.037419148251026
31,0.4075960234832805,4.655829950650276,40.51475208544923
32,0.4068574662241806,4.807624242832682,45.52475367557104
33,0.40737670618163535,4.960370401054849,51.141178854512546
34,0.40856160565282296,5.109150355102126,57.425662555086774
35,0.40843841729242664,5.257630883016875,64.46946569299035
36,0.4094825362991355,5.407501263789565,72.35648034519812
37,0.4100250778443966,5.5548355877798805,81.18900965995518
38,0.40587526118784517,5.706877471827023,91.08144046972244
39,0.408135092557498,5.856473157881883,102.15926338136032
40,0.40787928810912766,6.010024707370517,114.56859296939261
41,0.4036676728925017,6.155162759939075,128.46702884878513
42,0.40368216754485836,6.304984139440295,144.03160865753364
43,0.4054520552379198,6.460291017826242,161.46325389927514
44,0.4084195592615274,6.611138688225927,180.99085683194642
45,0.39990579568368884,6.761275674678474,202.85755161621807
46,0.4033879907523594,6.910764770778162,227.34821897551365
47,0.4056472195053714,7.062590644415192,254.7814263660751
48,0.40289580105704625,7.21170057077913,285.5034275555119
49,0.40311018217445016,7.366104098073581,319.91197424124687
50,0.40240548367858303,7.514072888875144,358.45353644559725
51,0.402085929990602,7.665643001121757,401.6137913509595
52,0.4059622420118409,7.81737169713018,449.956562979281
53,0.40984242189545234,7.963118070237554,504.1028237253057
54,0.40867505409661853,8.118662779294196,564.7435037044409
55,0.40410278315864373,8.267629302728313,632.66426164974
56,0.40602941404541787,8.418086150871968,708.7342115345266
57,0.4029485025256018,8.56571076918839,793.9335953854641
58,0.3991582527907264,8.713028861746276,889.3575780734625
59,0.4021515945563673,8.866105029504709,996.2371486863018
60,0.40307503715335646,9.015179411753538,1115.936898249171
61,0.40452232619067935,9.16789420860065,1249.9973214173617
62,0.4071061565456263,9.31924724240159,1400.1471307026814
63,0.4076040253277322,9.466588722574182,1568.313242416806
64,0.40355948458006446,9.617895327623847,1756.664880228189
65,0.4002121502264508,9.768962379357175,1967.6143126564803
66,0.4018183444452681,9.920812085462945,2203.8757735408035
67,0.4075280844600974,10.069579381110612,2468.4891891402667
68,0.4060981392851869,10.219362270055232,2764.858859802236
69,0.40191479834639626,10.370367567241841,3096.794140358893
70,0.40153959031581177,10.518379367914896,3468.5584338013055
71,0.39755244663632083,10.668445493089335,3884.937357458789
72,0.4012182548493702,10.81959045204383,4351.279498809202
73,0.40394118396696593,10.96861398532256,4873.582829589999
74,0.4044193950880631,11.116453434166159,5458.563337682338
75,0.4041364954693542,11.26566407007373,6113.7416612814
76,0.39890887185981533,11.413520827149263,6847.535962439179
77,0.40000375370906804,11.561429819506623,7669.392453949385
78,0.40526145876233827,11.71230888160206,8589.869939245813
79,0.4058116886892817,11.861819660845187,9620.803333435155
80,0.4109978377507695,12.010026982644852,10775.449763382401
81,0.4109529168559891,12.159247384022372,12068.648683073685
82,0.40971174403662364,12.309207344922843,13517.036616582636
83,0.4081569805022779,12.460772760795761,15139.230139488258
84,0.40953564513894114,12.610591421910156,16956.08351264911
85,0.4087365384910076,12.759417551169244,18990.965784509204
86,0.40736937721313204,12.909993638820474,21270.034320456776
87,0.4075757582813163,13.05906340864985,23822.588426313607
88,0.40687588139478204,13.208866280281898,26681.449610043444
89,0.41054736446369045,13.358951843826953,29883.371006819947
90,0.4065144019214272,13.509119223760074,33469.524950202656
91,0.4082624710087494,13.658430840671686,37486.019105829415
92,0.4078079763046344,13.808679316336061,41984.48914497413
93,0.4051373304667395,13.958054044831236,47022.779092457065
94,0.4024457954894605,14.114020359558722,52665.66437047723
95,0.39845361145547525,14.26597606073149,58985.697066794215
96,0.4009105397306501,14.417962710428867,66064.12958040566
97,0.4023825662745528,14.569253084236193,73991.97390541362
98,0.4043602711440822,14.722220390047537,82871.16320832953
99,0.40759394194686444,14.870709204152046,92815.84835637001
100,0.4078278082175299,15.021344534951544,103953.90391306356
101,0.4068186042777248,15.172845297652444,116428.5188234717
102,0.4062519632349723,15.319998458885959,130400.0931559532
103,0.40627240474718634,15.471621379367408,146048.2548484824
104,0.4048838537454215,15.621577017475584,163574.19749068317
105,0.40766042146195663,15.772265129341221,183203.24947021314
106,0.40662820822713747,15.923893882464567,205187.79058056933
107,0.40775663577762783,16.07676708656311,229810.4771898208
108,0.4046037773009199,16.225688443863024,257387.8825649915
109,0.4056860201889614,16.377310343772074,288274.57808588934
110,0.4102688572467658,16.522951564116383,322867.68069188955
111,0.40304395738434506,16.67659980405274,361611.9508420691
112,0.40302687337464627,16.82406960530743,405005.5366053845
113,0.40289468600598766,16.97464526891305,453606.3525695831
114,0.40109774188836483,17.124720298859895,508039.2621311768
115,0.4035691486348133,17.277267710791673,569004.1245581004
116,0.4055629767214809,17.428938195941324,637284.7678082156
117,0.40558552616998267,17.577498624479592,713759.0949352684
118,0.40399642915849954,17.726346139931017,799410.3385253259
119,0.40363643160892015,17.876259530504573,895339.730224474
120,0.4099572394927899,18.026253973519815,1002780.6502315715
