turn,Q_full_retention,Q_selector_O1_leakage,Q_theory_c_over_t
0,0.9990009990009991,0.9082652134423251,
1,0.9514747859181732,0.9082652134423251,20.0
2,0.9082652134423251,0.9082652134423251,10.0
3,0.8688097306689836,0.9082652134423251,6.666666666666667
4,0.8326394671107411,0.9082652134423251,5.0
5,0.7993605115907275,0.9082652134423251,4.0
6,0.7686395080707149,0.9082652134423251,3.3333333333333335
7,0.7401924500370096,0.9082652134423251,2.857142857142857
8,0.7137758743754462,0.9082652134423251,2.5
9,0.6891798759476224,0.9082652134423251,2.2222222222222223
10,0.6662225183211193,0.9082652134423251,2.0
11,0.6447453255963894,0.9082652134423251,1.8181818181818181
12,0.6246096189881324,0.9082652134423251,1.6666666666666667
13,0.6056935190793459,0.9082652134423251,1.5384615384615385
14,0.5878894767783657,0.9082652134423251,1.4285714285714286
15,0.5711022272986865,0.9082652134423251,1.3333333333333333
16,0.5552470849528041,0.9082652134423251,1.25
17,0.5402485143165856,0.9082652134423251,1.1764705882352942
18,0.5260389268805892,0.9082652134423251,1.1111111111111112
19,0.5125576627370579,0.9082652134423251,1.0526315789473684
20,0.49975012493753124,0.9082652134423251,1.0
21,0.4875670404680644,0.9082652134423251,0.9523809523809523
22,0.47596382674916704,0.9082652134423251,0.9090909090909091
23,0.4649000464900046,0.9082652134423251,0.8695652173913043
24,0.45433893684688775,0.9082652134423251,0.8333333333333334
25,0.44424700133274103,0.9082652134423251,0.8
26,0.434593654932638,0.9082652134423251,0.7692307692307693
27,0.4253509145044662,0.9082652134423251,0.7407407407407407
28,0.4164931278633902,0.9082652134423251,0.7142857142857143
29,0.4079967360261118,0.9082652134423251,0.6896551724137931
30,0.39984006397441024,0.9082652134423251,0.6666666666666666
31,0.39200313602508824,0.9082652134423251,0.6451612903225806
32,0.3844675124951942,0.9082652134423251,0.625
33,0.3772161448509996,0.9082652134423251,0.6060606060606061
34,0.3702332469455757,0.9082652134423251,0.5882352941176471
35,0.36350418029807346,0.9082652134423251,0.5714285714285714
36,0.35701535166012144,0.9082652134423251,0.5555555555555556
37,0.350754121360926,0.9082652134423251,0.5405405405405406
38,0.3447087211306446,0.9082652134423251,0.5263157894736842
39,0.3388681802778719,0.9082652134423251,0.5128205128205128
40,0.33322225924691773,0.9082652134423251,0.5
41,0.32776138970829233,0.9082652134423251,0.4878048780487805
42,0.32247662044501774,0.9082652134423251,0.47619047619047616
43,0.317359568390987,0.9082652134423251,0.46511627906976744
44,0.31240237425804435,0.9082652134423251,0.45454545454545453
45,0.30759766225776686,0.9082652134423251,0.4444444444444444
46,0.30293850348379275,0.9082652134423251,0.43478260869565216
47,0.29841838257236647,0.9082652134423251,0.425531914893617
